PostID,Date,Platform,ContentType,Impressions,Reach,Likes,Comments,Shares,Clicks,FollowersGain,Caption,Engagement,EngagementRate
1,2025-09-01,Facebook,Static Post,1189,713,40,1,0,8,8,Sample caption for Facebook Static Post,41,0.034
2,2025-09-01,TikTok,Static Post,1632,1361,155,13,3,31,5,Sample caption for TikTok Static Post,171,0.105
3,2025-09-01,TikTok,Story,684,544,23,0,1,21,8,Sample caption for TikTok Story,24,0.035
4,2025-09-02,Facebook,Story,905,762,82,7,1,4,2,Sample caption for Facebook Story,90,0.099
5,2025-09-02,Instagram,Static Post,1160,912,84,3,3,31,8,Sample caption for Instagram Static Post,90,0.078
6,2025-09-02,TikTok,Static Post,1944,1189,102,7,2,24,2,Sample caption for TikTok Static Post,111,0.057
7,2025-09-02,TikTok,Story,1165,738,82,2,2,5,0,Sample caption for TikTok Story,86,0.074
8,2025-09-03,Facebook,Story,290,266,15,1,0,7,0,Sample caption for Facebook Story,16,0.055
9,2025-09-03,TikTok,Carousel,3195,2031,136,10,4,13,8,Sample caption for TikTok Carousel,150,0.047
10,2025-09-04,TikTok,Static Post,2445,1505,64,5,0,54,8,Sample caption for TikTok Static Post,69,0.028
11,2025-09-04,Instagram,Static Post,875,575,65,3,3,17,5,Sample caption for Instagram Static Post,71,0.081
12,2025-09-05,TikTok,Carousel,2950,2413,235,11,5,87,5,Sample caption for TikTok Carousel,251,0.085
13,2025-09-05,TikTok,Static Post,2048,1674,67,6,2,42,2,Sample caption for TikTok Static Post,75,0.037
14,2025-09-06,TikTok,Story,1336,979,96,7,2,31,2,Sample caption for TikTok Story,105,0.079
15,2025-09-06,Facebook,Carousel,955,869,54,5,2,4,8,Sample caption for Facebook Carousel,61,0.064
16,2025-09-06,TikTok,Carousel,986,878,69,1,2,27,8,Sample caption for TikTok Carousel,72,0.073
17,2025-09-07,TikTok,Reel/Video,2960,2558,250,23,11,23,8,Sample caption for TikTok Reel/Video,284,0.096
18,2025-09-07,Instagram,Story,654,483,19,1,0,7,8,Sample caption for Instagram Story,20,0.031
19,2025-09-07,Facebook,Static Post,1087,699,38,2,2,17,8,Sample caption for Facebook Static Post,42,0.039
20,2025-09-08,Facebook,Reel/Video,1324,1171,65,5,2,23,0,Sample caption for Facebook Reel/Video,72,0.054
21,2025-09-08,Instagram,Reel/Video,1066,774,33,3,1,25,8,Sample caption for Instagram Reel/Video,37,0.035
22,2025-09-08,Facebook,Story,50,42,3,0,0,1,0,Sample caption for Facebook Story,3,0.06
23,2025-09-09,TikTok,Reel/Video,2996,1957,87,8,2,13,5,Sample caption for TikTok Reel/Video,97,0.032
24,2025-09-09,Facebook,Story,436,307,14,1,0,9,1,Sample caption for Facebook Story,15,0.034
25,2025-09-09,Facebook,Story,474,384,31,1,1,9,1,Sample caption for Facebook Story,33,0.07
26,2025-09-10,TikTok,Carousel,1734,1349,66,6,2,12,5,Sample caption for TikTok Carousel,74,0.043
27,2025-09-10,Facebook,Story,819,551,53,1,1,18,0,Sample caption for Facebook Story,55,0.067
28,2025-09-11,Facebook,Carousel,540,444,34,3,0,3,3,Sample caption for Facebook Carousel,37,0.069
29,2025-09-11,TikTok,Reel/Video,4229,2782,255,13,11,87,5,Sample caption for TikTok Reel/Video,279,0.066
30,2025-09-11,Instagram,Story,649,599,28,0,1,9,8,Sample caption for Instagram Story,29,0.045
31,2025-09-11,Facebook,Static Post,789,696,43,2,0,12,8,Sample caption for Facebook Static Post,45,0.057
32,2025-09-12,Facebook,Story,379,245,18,0,1,8,1,Sample caption for Facebook Story,19,0.05
33,2025-09-12,TikTok,Story,889,574,59,2,3,14,0,Sample caption for TikTok Story,64,0.072
34,2025-09-12,Facebook,Static Post,560,340,39,2,1,8,0,Sample caption for Facebook Static Post,42,0.075
35,2025-09-13,Instagram,Reel/Video,2358,1427,119,6,5,22,1,Sample caption for Instagram Reel/Video,130,0.055
36,2025-09-13,Facebook,Story,420,371,29,1,1,2,0,Sample caption for Facebook Story,31,0.074
37,2025-09-13,Facebook,Carousel,1304,1201,36,3,1,46,5,Sample caption for Facebook Carousel,40,0.031
38,2025-09-13,Instagram,Carousel,863,565,27,1,0,16,1,Sample caption for Instagram Carousel,28,0.032
39,2025-09-14,Instagram,Carousel,1280,1106,102,9,2,31,8,Sample caption for Instagram Carousel,113,0.088
40,2025-09-14,TikTok,Reel/Video,3452,2505,129,2,4,23,2,Sample caption for TikTok Reel/Video,135,0.039
